id_en,title_en,author_id_en,publish_date_en,original_lang_id_en
1,To Kill a Mockingbird,1,1960-07-11,1
2,Harry Potter and the Sorcerer's Stone,2,1997-06-26,1
3,The Great Gatsby,3,1925-04-10,1
4,Animal Farm,4,1945-08-17,1
5,1984,4,1949-06-08,1
6,The Hobbit,5,1937-09-21,1
7,The Little Prince,6,1943-04-06,3
8,Fahrenheit 451,7,1953-10-19,1
9,The Catcher in the Rye,8,1951-07-16,1
10,"The Lion, the Witch and the Wardrobe",9,1950-10-16,1
11,The Grapes of Wrath,10,1939-04-14,1
12,One Hundred Years of Solitude,11,1967-01-01,2
13,Brave New World,12,1932-01-01,1
14,Gone with the Wind,13,1936-06-30,1
15,Of Mice and Men,10,1937-02-25,1
16,Harry Potter and the Prisoner of Azkaban,2,1999-06-08,1
17,The Giver,14,1993-04-26,1
18,Lord of the Flies,15,1954-09-17,1
19,Slaughterhouse-Five,16,1969-03-31,1
20,Lolita,17,1955-09-01,1
21,East of Eden,10,1952-01-01,1
22,The Handmaid's Tale,18,1985-01-01,1
23,The Fellowship of the Ring,5,1954-06-29,1
24,One Flew Over the Cuckoo's Nest,19,1962-01-01,1
25,The Stranger,20,1942-05-19,3
26,Memoirs of a Geisha,21,1997-09-23,1
27,The Ultimate Hitchhiker's Guide to the Galaxy,22,1996-01-17,1
28,Charlotte's Web,23,1952-10-15,1
29,Harry Potter and the Chamber of Secrets,2,1998-06-02,1
30,A Wrinkle in Time,24,1962-01-01,1
31,The Old Man and the Sea,25,1952-09-01,1
32,Ender's Game,26,1985-01-15,1
33,The Giving Tree,27,1964-01-01,1
34,The Return of the King,5,1955-10-20,1
35,The Two Towers,5,1954-11-11,1
36,Night,28,1956-01-01,9
37,The Bell Jar,29,1963-01-01,1
38,A Tree Grows in Brooklyn,30,1943-08-18,1
39,Watership Down,31,1972-01-01,1
40,The Alchemist,32,1988-01-01,4
41,Anne of Green Gables,33,1908-01-01,1
42,In Cold Blood,34,1959-01-01,1
43,Green Eggs and Ham,35,1960-08-12,1
44,The Color Purple,36,1982-06-01,1
45,Atlas Shrugged,37,1957-10-10,1
46,The Metamorphosis,38,1915-10-01,5
47,Love in the Time of Cholera,11,1985-11-01,2
48,The Poisonwood Bible,39,1998-09-24,1
49,The Secret Garden,40,1911-08-01,1
50,A Study in Scarlet,41,1887-01-01,1
